点号,点名,纬度,经度,大地高,X,Y,H,班组,ID
27,10177,"31°17'03.751103""N","121°21'28.228808""E",0,5429.553,-10408.565,0,六组,473
28,10178,"31°16'19.865347""N","121°22'07.732984""E",0,4076.979,-9364.851,0,六组,474
29,10181,"31°16'02.561771""N","121°21'41.702456""E",0,3544.674,-10053.944,0,六组,475
30,15161,"31°17'01.793828""N","121°23'48.137487""E",0,5366.347,-6708.017,0,六组,476
31,10804,"31°14'37.888446""N","121°17'54.066501""E",0,944.205,-16079.923,0,六组,477
32,10957,"31°15'23.852106""N","121°18'44.039178""E",0,2357.907,-14755.627,0,六组,478
33,10951,"31°16'55.670934""N","121°17'36.628953""E",-0.001,5188.401,-16534.773,0,六组,479
34,12702,"31°18'57.500368""N","121°11'53.322330""E",-0.001,8958.589,-25606.415,0,六组,480
35,12703,"31°19'11.064915""N","121°11'24.819633""E",-0.001,9378.209,-26359.024,0,六组,481
36,12704,"31°19'33.665633""N","121°11'11.184287""E",-0.001,10075.189,-26717.79,0,六组,482
37,10811,"31°17'26.510328""N","121°09'49.827964""E",-0.001,6164.6,-28879.408,0,六组,483
38,10815,"31°19'20.505836""N","121°11'46.672419""E",-0.001,9667.557,-25780.523,0,六组,484
39,10817,"31°15'57.888668""N","121°17'54.759474""E",-0.001,3408.06,-16057.884,0,六组,485
40,10943,"31°18'37.615372""N","121°10'24.842633""E",-0.001,8352.067,-27947.55,0,六组,486
41,10944,"31°19'35.875539""N","121°11'27.983045""E",-0.001,10142.141,-26273.487,0,六组,487
42,10945,"31°20'12.893454""N","121°11'07.519975""E",-0.001,11283.609,-26811.609,0,六组,488
43,10954,"31°14'07.616983""N","121°28'01.742432""E",0.001,0.001,0.001,0,六组,489
44,10960,"31°17'10.525642""N","121°22'29.015875""E",0,5636.768,-8800.577,0,六组,490
45,10961,"31°16'59.341052""N","121°23'40.528794""E",0,5290.931,-6909.316,0,六组,491
46,10963,"31°14'05.802218""N","121°22'19.657693""E",0,-52.219,-9052.854,0,六组,492
47,12707,"31°15'52.127931""N","121°21'39.038157""E",0,3223.394,-10124.729,0,六组,493
48,10967,"31°17'05.912641""N","121°22'53.305286""E",0,5494.192,-8158.242,0,六组,494
49,10970,"31°15'58.838174""N","121°16'58.426681""E",-0.001,3439.649,-17548.128,0,六组,495
